subjid,community,screen,touchscreen,household,children,younger_children,clickscaledx,clickscaledy,targetx,targety,targetwidth,targetheight,targetcenterx,targetcentery,clickdistfromtargetcenterx,clickdistfromtargetcentery,clickdistfromtargetbboxy,trialnr,agent,trialtype,targetposition,eyeradius,eyecenterleftx,eyecenterlefty,pupilfinalleftx,pupilfinallefty,eyecenterrightx,eyecenterrighty,pupilfinalrightx,pupilfinalrighty,targetcentralityx,centralitybias,agecentered
H0000018,hai||om,1,0,13,8,2,1280,276,1103.0921898261527,233.34295654296875,160.00592041015625,213.34295654296875,1183.0951500312308,126.67147827148438,96.90484996876921,149.32852172851562,42.65704345703125,17,male02,test,7,27.99,901.97,846.5,907.0375328313204,833.5244456379132,1022.21,845.94,1025.250707942243,832.3459205824729,223.0951500312308,-96.90484996876921,3.3347022587269
H0000018,hai||om,1,0,13,8,2,1273.3333740234375,264,1252.7594335695592,233.34295654296875,160.00592041015625,213.34295654296875,1332.7623937746373,126.67147827148438,-59.4290197511998,137.32852172851562,30.65704345703125,18,male01,test,8,27.99,900.32,847.6800000000001,907.484943405121,835.7339342877497,1020.56,847.13,1026.0987268852514,834.3484740938061,372.7623937746373,59.4290197511998,3.3347022587269
H0000018,hai||om,1,0,13,8,2,1374.6666259765625,241.33331298828125,1497.5620177433325,233.34295654296875,160.00592041015625,213.34295654296875,1577.5649779484106,126.67147827148438,-202.89835197184811,114.66183471679688,7.9903564453125,19,female03,test,9,25.57,907.52,809.11,916.4386095103638,800.0264266721881,1017.35,808.6,1025.4307445092759,798.7636150860219,617.5649779484106,202.89835197184811,3.3347022587269
H0000019,hai||om,1,0,6,3,1,1117.3333740234375,198.66668701171875,1374.5622884976026,233.34295654296875,160.00592041015625,213.34295654296875,1454.5652487026807,126.67147827148438,-337.2318746792432,71.995208740234375,-0,5,male04,test,8,27.99,900.67,844.52,909.1797093960624,833.4914123300205,1020.91,843.97,1028.11691953269,832.0492109804277,494.5652487026807,337.2318746792432,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,1006.6666870117188,80,1117.8164575151932,233.34295654296875,160.00592041015625,213.34295654296875,1197.8194177202713,126.67147827148438,-191.15273070855255,-46.671478271484375,-0,6,male02,test,7,27.99,901.97,846.5,907.2654177439465,833.6157673524172,1022.21,845.94,1025.5139616617244,832.4074933091479,237.8194177202713,191.15273070855255,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,1110.6666259765625,158.66668701171875,950.3974033060331,233.34295654296875,160.00592041015625,213.34295654296875,1030.4003635111112,126.67147827148438,80.26626246545129,31.995208740234375,-0,7,female04,test,6,25.16,910.28,808.3399999999999,912.4527386231154,796.0099713351719,1018.34,807.8399999999999,1018.5616369147031,795.3219619317679,70.40036351111121,-80.26626246545129,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,946.66668701171875,102.66668701171875,1583.035649429519,233.34295654296875,160.00592041015625,213.34295654296875,1663.0386096345972,126.67147827148438,-716.3719226228784,-24.004791259765625,-0,8,female03,test,9,25.57,907.52,809.11,916.9667513403909,800.5770175722193,1017.35,808.6,1026.1024963334369,799.35626114967,703.0386096345972,716.3719226228784,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,834.66668701171875,74.66668701171875,598.1294027014045,233.34295654296875,160.00592041015625,213.34295654296875,678.1323629064826,126.67147827148438,156.53432410523612,-52.004791259765625,-0,9,female02,test,4,27.99,900.32,827.9300000000001,896.1125413578814,814.6506102634589,1020.56,827.38,1014.4438351692814,814.86451248399,281.8676370935174,156.53432410523612,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,881.33331298828125,48,482.50179431110115,233.34295654296875,160.00592041015625,213.34295654296875,562.5047545161792,126.67147827148438,318.82855847210203,-78.671478271484375,-0,10,male01,test,3,27.99,900.32,847.6800000000001,894.409895278158,835.0658982810178,1020.56,847.13,1013.0861836244044,835.3747046492297,397.4952454838208,318.82855847210203,1.0376454483230666
H0000019,hai||om,1,0,6,3,1,878.66668701171875,102.66668701171875,1739.0470483653526,233.34295654296875,160.00592041015625,213.34295654296875,1819.0500085704307,126.67147827148438,-940.3833215587119,-24.004791259765625,-0,11,male03,test,10,27.99,901.32,844.52,912.2921200949572,835.9376063582558,1021.56,843.97,1031.9169443626126,834.6544966067428,859.0500085704307,940.3833215587119,1.0376454483230666
