subjid,community,age_group,ageinyears,sex,screen,touchscreen,household,children,younger_children,trialnr,targetposition,targetcenterx,targetcentralityx,clickdistfromtargetcenterx
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,3,1,90.71841111168831,869.2815888883117,1471.9482148648742
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,4,3,511.6159056769005,448.3840943230995,1027.0507202996619
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,5,9,1511.8435595607111,551.8435595607111,58.82306641585137
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,6,2,372.21171430522764,587.7882856947724,1193.12165971821
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,7,7,1153.2676976237608,193.2676976237608,-866.6010411296202
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,8,4,711.8480853912424,248.15191460875758,-389.1814288971018
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,9,6,1055.163080386696,95.16308038669604,-751.163080386696
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,10,2,372.21171430522764,587.7882856947724,-96.21171430522764
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,11,3,511.6159056769005,448.3840943230995,-239.61590567690052
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,12,7,1153.2676976237608,193.2676976237608,322.7323023762392
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,13,10,1709.4029723651074,749.4029723651074,-206.73634638854492
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,14,8,1314.5050849957659,354.50508499576586,190.82828902767164
H0000056,hai||om,8,8.344969199178644,f,1,0,5,3,2,15,4,711.8480853912424,248.15191460875758,-438.51474188538305
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,1,6,1073.7747026278,113.77470262780002,-148.44138963951877
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,2,4,613.7640914214185,346.23590857858153,254.23590857858153
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,3,5,872.1746303413169,87.82536965868314,-32.174630341316856
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,4,10,1760.5375331851571,800.5375331851571,-903.2042201968759
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,5,7,1154.122366639921,194.12236663992098,-307.45567962820223
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,6,1,161.9774920594727,798.0225079405272,684.689194952246
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,7,3,557.7827540516898,402.21724594831016,323.5505589365914
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,8,9,1551.3034524601408,591.3034524601408,-675.3034524601408
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,9,8,1352.1173633207895,392.11736332078954,-452.11736332078954
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,10,1,161.9774920594727,798.0225079405272,711.3558209288085
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,11,9,1551.3034524601408,591.3034524601408,-735.3034524601408
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,12,2,343.56167230455384,616.4383276954461,523.1050147071649
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,13,4,613.7640914214185,346.23590857858153,252.90259559030028
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,14,7,1154.122366639921,194.12236663992098,-242.12236663992098
H0000059,hai||om,7,7.613963039014374,f,0,0,7,4,1,15,6,1073.7747026278,113.77470262780002,-265.7747026278
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,1,6,1018.9564903246875,58.95649032468748,-188.28980331296873
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,2,9,1566.5204939001849,606.5204939001849,-1126.5204939001849
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,3,4,644.0548844872603,315.9451155127397,37.278428501020926
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,4,10,1677.6333358524453,717.6333358524453,-834.9666488407265
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,5,2,305.9202970395784,654.0797029604216,452.7463899721404
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,6,5,912.9420987566037,47.05790124339626,-155.6087857683225
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,7,3,535.7177716338724,424.2822283661276,410.94891537784633
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,8,7,1183.531049990747,223.53104999074708,277.8023240326904
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,9,8,1475.3521308796687,515.3521308796687,-592.68544386795
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,10,7,1183.531049990747,223.53104999074708,-243.53104999074708
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,11,9,1566.5204939001849,606.5204939001849,-655.8538068884661
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,12,8,1475.3521308796687,515.3521308796687,-351.3521308796687
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,13,6,1018.9564903246875,58.95649032468748,30.37688369875002
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,14,10,1677.6333358524453,717.6333358524453,-792.300022864164
H0000060,hai||om,5,5.675564681724846,f,0,0,10,5,1,15,4,644.0548844872603,315.9451155127397,265.2784285010209
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,1,9,1625.1054419660954,665.1054419660954,49.56118401046706
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,2,7,1195.7542988603304,235.75429886033044,553.5790751631071
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,3,6,1066.1661772932223,106.16617729322229,-140.83286430494104
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,4,5,786.9243597002087,173.0756402997913,85.0756402997913
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,5,1,188.39050419180012,771.6094958081999,82.2761523023405
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,6,4,759.2425524509157,200.7574475490843,268.7574475490843
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,7,8,1388.1081465524655,428.10814655246554,334.55847942409696
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,8,2,343.2409570643692,616.7590429356308,251.42572994734957
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,9,10,1736.548669265406,776.548669265406,-72.54866926540603
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,10,9,1625.1054419660954,665.1054419660954,36.22793205734206
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,11,5,786.9243597002087,173.0756402997913,-73.59104671192745
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,12,4,759.2425524509157,200.7574475490843,-43.242552450915696
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,13,8,1388.1081465524655,428.10814655246554,167.89185344753446
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,14,1,188.39050419180012,771.6094958081999,451.6094958081999
H0000061,hai||om,3,3.917864476386037,m,0,0,5,2,1,15,10,1736.548669265406,776.548669265406,68.78470475803147
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,1,1,236.71140149523592,723.2885985047641,1405.9552244813267
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,2,6,1020.9022813033125,60.90228130331252,585.76434467325
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,3,7,1252.3982515877688,292.39825158776875,360.93512243566875
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,4,5,811.2715009652142,148.72849903478584,707.3951250113483
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,5,2,299.9363651986885,660.0636348013115,1380.0636348013115
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,6,8,1439.8489700688626,479.8489700688626,220.15102993113737
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,7,9,1535.4085060265816,575.4085060265816,125.92486799685594
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,8,3,534.8577555830371,425.14224441696285,1257.142244416963
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,9,4,781.8000946155371,178.1999053844629,906.1999053844629
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,10,2,299.9363651986885,660.0636348013115,1296.0636348013115
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,11,4,781.8000946155371,178.1999053844629,931.5332794079004
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,12,7,1252.3982515877688,292.39825158776875,436.93512243566875
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,13,1,236.71140149523592,723.2885985047641,1451.2885985047642
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,14,3,534.8577555830371,425.14224441696285,1197.142244416963
H0000062,hai||om,5,5.070499657768652,m,0,0,5,3,1,15,5,811.2715009652142,148.72849903478584,926.0618730582233
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,1,1,247.97937828893546,712.0206217110646,780.0206217110646
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,2,9,1635.3181708484826,675.3181708484826,-597.9847968250451
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,3,2,298.2519274019466,661.7480725980533,696.4147596097721
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,4,3,545.8192007760598,414.1807992239402,707.5141732473777
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,5,8,1389.3810984262118,429.3810984262118,-437.3810984262118
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,6,7,1300.451143893518,340.45114389351806,-163.11776987008056
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,7,4,661.2493115709026,298.7506884290974,528.0840624525349
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,8,5,819.0366820859284,140.96331791407158,320.9633179140716
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,9,6,1032.4787867695022,72.47878676950222,-32.47878676950222
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,10,9,1635.3181708484826,675.3181708484826,-1011.3181708484826
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,11,2,298.2519274019466,661.7480725980533,909.7480725980533
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,12,1,247.97937828893546,712.0206217110646,690.6873087227833
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,13,10,1836.4983160622628,876.4983160622628,-899.1650030739816
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,14,3,545.8192007760598,414.1807992239402,372.84748623565895
H0000063,hai||om,3,3.600273785078713,m,0,0,5,3,1,15,6,1032.4787867695022,72.47878676950222,182.18783920706028
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,1,5,943.6374354140668,16.362564585933228,64.36256458593323
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,2,10,1779.1857926442628,819.1857926442628,-328.51916666770035
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,3,3,482.9181337604719,477.0818662395281,-18.918133760471903
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,4,8,1406.3220301604292,446.3220301604292,55.01134386300828
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,5,4,657.3707310747658,302.6292689252342,-241.37073107476579
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,6,7,1304.829478507203,344.829478507203,63.17052149279698
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,7,6,1119.0388996778686,159.03889967786859,140.96110032213141
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,8,9,1535.8425538601764,575.8425538601764,60.157446139823605
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,9,1,108.23134646537133,851.7686535346287,259.7686535346287
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,10,9,1535.8425538601764,575.8425538601764,66.8240721163861
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,11,8,1406.3220301604292,446.3220301604292,133.67796983957078
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,12,4,657.3707310747658,302.6292689252342,-361.3707310747658
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,13,7,1304.829478507203,344.829478507203,112.50389551623448
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,14,1,108.23134646537133,851.7686535346287,35.76865353462867
H0000064,hai||om,3,3.1101984941820673,f,0,0,7,4,0,15,6,1119.0388996778686,159.03889967786859,-225.70558668958734
H0000065,hai||om,6,6.93223819301848,m,1,0,14,6,2,1,7,1239.0970566123594,279.09705661235944,-309.7637436240782
H0000065,hai||om,6,6.93223819301848,m,1,0,14,6,2,2,3,442.39034267501586,517.6096573249841,550.9429703132654
H0000065,hai||om,6,6.93223819301848,m,1,0,14,6,2,3,2,364.69833116284076,595.3016688371592,507.30166883715924
