subjid,community,age_group,ageinyears,sex,screen,touchscreen,household,children,younger_children,trialnr,targetposition,targetcenterx,targetcentralityx,clickdistfromtargetcenterx,continent,older_children,click
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,5,8,1421.354134268776,0.07748312898551041,-185.34412450315085,Asia,1,185.34412450315085
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,6,4,641.857241977356,-0.4872305609626462,198.14953292498777,Asia,1,198.14953292498777
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,7,3,501.638119749472,0.06568401880167403,212.36761755521547,Asia,1,212.36761755521547
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,8,2,261.4260290454144,1.0128926810416863,307.07854859130435,Asia,1,307.07854859130435
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,9,7,1251.4632652328849,-0.5924336196453328,-145.95435410007235,Asia,1,145.95435410007235
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,10,5,801.8013712666817,-1.1179251454577084,-42.79526775105671,Asia,1,42.79526775105671
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,11,3,501.638119749472,0.06568401880167403,215.36767859037172,Asia,1,215.36767859037172
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,12,4,641.857241977356,-0.4872305609626462,105.14880050311274,Asia,1,105.14880050311274
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,13,8,1421.354134268776,0.07748312898551041,-125.34363622190084,Asia,1,125.34363622190084
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,14,6,1029.9395942241035,-1.4659497672119215,-87.93196482957228,Asia,1,87.93196482957228
TUR00020,Malatya (Turkey),5,0.2975411390645426,f,1,1,4,2,0,15,1,242.42453854830617,1.0878197021653082,528.5816870376314,Asia,1,528.5816870376314
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,1,9,1562.0672203330694,0.6323455158868863,-89.05537951275687,Asia,0,89.05537951275687
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,2,2,396.809596523154,0.47904574825819884,317.19614078153353,Asia,0,317.19614078153353
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,3,5,812.9162353118701,-1.1617534784627823,129.09139408266117,Asia,0,129.09139408266117
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,4,6,1030.0789475132035,-1.465400266801012,-16.07076880226623,Asia,0,16.07076880226623
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,5,8,1317.792250727665,-0.3308839639468959,-62.28211889172758,Asia,0,62.28211889172758
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,6,1,122.1187204123589,1.5622117809413658,506.3863455056098,Asia,0,506.3863455056098
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,7,10,1777.323631449679,1.4811484908526498,-370.3122789106165,Asia,0,370.3122789106165
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,8,7,1253.4840073385565,-0.5844653928128066,152.02734520050603,Asia,0,152.02734520050603
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,9,4,617.759026409404,-0.39220604132423603,108.246832965596,Asia,0,108.246832965596
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,10,8,1317.792250727665,-0.3308839639468959,48.71873560045992,Asia,0,48.71873560045992
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,11,10,1777.323631449679,1.4811484908526498,-370.3122789106165,Asia,0,370.3122789106165
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,12,5,812.9162353118701,-1.1617534784627823,15.090478555317418,Asia,0,15.090478555317418
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,13,7,1253.4840073385565,-0.5844653928128066,-27.974119643243966,Asia,0,27.974119643243966
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,14,6,1030.0789475132035,-1.465400266801012,-46.07101294289123,Asia,0,46.07101294289123
TUR00021,Malatya (Turkey),5,-0.007862752739174292,m,1,1,3,1,0,15,1,122.1187204123589,1.5622117809413658,468.8860403298286,Asia,0,468.8860403298286
TUR00022,Malatya (Turkey),5,0.04919072155382815,f,1,1,4,2,0,1,9,1587.693952874522,0.7333973113107787,-705.6868117612407,Asia,1,705.6868117612407
